year,ekey,akey,medal
1992,582,1,
2012,290,2,
1920,420,3,
1900,376,4,G
1932,368,8,
1932,475,8,
1952,508,10,
2000,524,12,
1996,386,13,
2000,386,13,
1912,359,15,
1912,70,15,
1920,359,15,B
1920,70,15,B
1924,359,15,
1948,24,17,B
1948,619,17,G
1948,117,17,
1948,373,17,G
1948,164,17,
1948,337,17,
1948,270,17,
1948,446,17,G
1952,24,17,
1952,619,17,B
1952,117,17,
1952,373,17,
1952,164,17,
1952,337,17,
1952,270,17,
1952,446,17,
2000,408,18,
1948,418,19,
2008,76,21,G
2016,118,22,
2000,56,23,
2004,56,23,
1920,237,25,S
1984,496,27,
1968,517,28,
1972,517,28,
1988,242,29,B
1996,77,30,S
2000,77,30,
1936,587,31,
1912,404,32,
1992,624,33,
1996,624,33,
2012,389,34,
1996,287,36,
1996,555,36,
1996,223,36,
2000,287,36,
2000,555,36,
1996,155,37,B
1920,237,38,S
1912,177,39,
1912,381,39,
1912,38,39,
1920,420,41,
1912,23,42,G
1992,563,43,
1936,111,45,
1936,258,46,
1948,258,46,
1952,502,46,
1956,502,46,
1960,502,46,
1920,28,47,
1920,180,47,
1924,180,47,
1928,180,47,
2012,575,48,
2004,7,49,
2008,7,49,
1992,628,50,
1996,628,50,
2016,24,51,
2016,117,51,
2016,164,51,
2016,337,51,
2016,270,51,
2016,446,51,
1976,587,52,
2000,605,53,
1948,245,54,
2016,494,55,
1956,513,56,
1956,626,56,G
1988,575,57,
1924,513,58,
1924,626,58,
1956,516,59,
1960,539,59,
1960,539,60,
1960,420,61,
2016,474,62,B
2008,381,63,B
1992,145,64,
2016,25,65,B
1972,66,66,
2008,7,67,S
2012,7,67,
2000,287,68,
2000,223,68,
2008,185,69,
2000,620,70,
1992,312,71,
1992,44,71,
2004,297,72,
2008,297,72,G
2008,251,73,G
2012,251,73,G
2016,251,73,S
2012,299,74,
2004,381,75,
2000,420,76,G
1968,543,77,
1996,10,78,
1924,217,79,
1996,496,80,G
2004,420,81,
2000,61,82,
1992,576,83,
2004,72,84,S
1976,567,85,
1980,567,85,G
1984,567,85,
1980,389,86,
1984,389,86,B
1964,56,87,
1980,512,88,
1984,541,89,
2004,453,90,S
2004,113,90,
2012,415,91,
2008,420,92,
2004,251,93,
2008,251,93,G
1984,71,94,
2004,161,95,
2004,240,96,
1976,404,97,
1968,177,98,
1968,293,98,
1968,90,98,
1992,90,99,S
1936,202,100,
1936,314,100,B
1972,203,101,
1920,420,102,
1928,420,102,
1936,51,103,B
1972,240,104,
2012,158,105,
2016,543,105,
1988,487,106,G
1996,479,106,G
2000,487,106,G
1984,291,107,G
1988,291,107,G
1992,291,107,S
1996,541,107,
1980,291,108,
1984,291,108,G
1988,291,108,G
1992,291,108,S
1976,490,109,
1976,28,109,
1980,490,109,
2016,324,110,
1996,98,111,
1964,516,112,
2004,420,113,
1980,180,114,
1992,490,115,
